Column1;Año del censo;Partido;Cultivo;Total
546;2018;Zárate;Oleaginosas;15440,3
547;2002;Buenos Aires;Oleaginosas;3493021,6
548;2002;Adolfo Alsina;Oleaginosas;44915,5
549;2002;Adolfo Gonzales Chaves;Oleaginosas;51348
550;2002;Alberti;Oleaginosas;47633,3
551;2002;Almirante Brown;Oleaginosas;0
552;2002;Arrecifes;Oleaginosas;49629
553;2002;Avellaneda;Oleaginosas;0
554;2002;Ayacucho;Oleaginosas;8289,6
555;2002;Azul;Oleaginosas;83747
556;2002;Bahía Blanca;Oleaginosas;140
557;2002;Balcarce;Oleaginosas;42204,1
558;2002;Baradero;Oleaginosas;33391,1
559;2002;Benito Juárez;Oleaginosas;31012,5
560;2002;Berazategui;Oleaginosas;0
561;2002;Berisso;Oleaginosas;0
562;2002;Bolívar;Oleaginosas;18133
563;2002;Bragado;Oleaginosas;71625,9
564;2002;Brandsen;Oleaginosas;355
565;2002;Campana;Oleaginosas;5734
566;2002;Cañuelas;Oleaginosas;3406
567;2002;Capitán Sarmiento;Oleaginosas;15705
568;2002;Carlos Casares;Oleaginosas;26949
569;2002;Carlos Tejedor;Oleaginosas;26022,2
570;2002;Carmen de Areco;Oleaginosas;28051,5
571;2002;Castelli;Oleaginosas;2696
572;2002;Chacabuco;Oleaginosas;78487,1
573;2002;Chascomús;Oleaginosas;8771
574;2002;Chivilcoy;Oleaginosas;87289,9
575;2002;Colón;Oleaginosas;41937
576;2002;Coronel de Marina Leonardo Rosales;Oleaginosas;0
577;2002;Coronel Dorrego;Oleaginosas;50585,5
578;2002;Coronel Pringles;Oleaginosas;41513,5
579;2002;Coronel Suárez;Oleaginosas;96585,4
580;2002;Daireaux;Oleaginosas;43800,2
581;2002;Dolores;Oleaginosas;127
582;2002;Ensenada;Oleaginosas;0
583;2002;Escobar;Oleaginosas;85
584;2002;Esteban Echeverría;Oleaginosas;0
585;2002;Exaltación de la Cruz;Oleaginosas;18426
586;2002;Ezeiza;Oleaginosas;0
587;2002;Florencio Varela;Oleaginosas;90
588;2002;Florentino Ameghino;Oleaginosas;20684
589;2002;General Alvarado;Oleaginosas;22130,4
590;2002;General Alvear;Oleaginosas;5248
591;2002;General Arenales;Oleaginosas;71958,5
592;2002;General Belgrano;Oleaginosas;7532
593;2002;General Guido;Oleaginosas;162
594;2002;General Juan Madariaga;Oleaginosas;4726,5
595;2002;General La Madrid;Oleaginosas;32079
