;Cantidad de EAPs;Año del censo;Partido;Sexo
75;2.0;2018;Lomas de Zamora;Hombres propietarios
76;71.0;2018;Luján;Hombres propietarios
77;181.0;2018;Magdalena;Hombres propietarios
78;114.0;2018;Maipú;Hombres propietarios
79;10.0;2018;Malvinas Argentinas;Hombres propietarios
80;135.0;2018;Mar Chiquita;Hombres propietarios
81;96.0;2018;Marcos Paz;Hombres propietarios
82;134.0;2018;Mercedes;Hombres propietarios
83;35.0;2018;Merlo;Hombres propietarios
84;95.0;2018;Monte;Hombres propietarios
85;1.0;2018;Monte Hermoso;Hombres propietarios
86;39.0;2018;Moreno;Hombres propietarios
87;0.0;2018;Morón;Hombres propietarios
88;137.0;2018;Navarro;Hombres propietarios
89;183.0;2018;Necochea;Hombres propietarios
90;309.0;2018;9 de julio;Hombres propietarios
91;325.0;2018;Olavarría;Hombres propietarios
92;560.0;2018;Patagones;Hombres propietarios
93;209.0;2018;Pehuajó;Hombres propietarios
94;96.0;2018;Pellegrini;Hombres propietarios
95;329.0;2018;Pergamino;Hombres propietarios
96;103.0;2018;Pila;Hombres propietarios
97;60.0;2018;Pilar;Hombres propietarios
98;0.0;2018;Pinamar;Hombres propietarios
99;14.0;2018;Presidente Perón;Hombres propietarios
100;464.0;2018;Puán;Hombres propietarios
101;101.0;2018;Punta Indio;Hombres propietarios
102;2.0;2018;Quilmes;Hombres propietarios
103;113.0;2018;Ramallo;Hombres propietarios
104;331.0;2018;Rauch;Hombres propietarios
105;139.0;2018;Rivadavia;Hombres propietarios
106;256.0;2018;Rojas;Hombres propietarios
107;142.0;2018;Roque Pérez;Hombres propietarios
108;298.0;2018;Saavedra;Hombres propietarios
109;351.0;2018;Saladillo;Hombres propietarios
110;87.0;2018;Salliqueló;Hombres propietarios
111;193.0;2018;Salto;Hombres propietarios
112;65.0;2018;San Andrés de Giles;Hombres propietarios
113;53.0;2018;San Antonio de Areco;Hombres propietarios
114;161.0;2018;San Cayetano;Hombres propietarios
115;43.0;2018;San Fernando;Hombres propietarios
116;0.0;2018;San Isidro;Hombres propietarios
117;1.0;2018;San Miguel;Hombres propietarios
118;114.0;2018;San Nicolás;Hombres propietarios
119;226.0;2018;San Pedro;Hombres propietarios
120;123.0;2018;San Vicente;Hombres propietarios
121;75.0;2018;Suipacha;Hombres propietarios
122;197.0;2018;Tandil;Hombres propietarios
