;HA de EAPs;Año del censo;Partido;Tipo forrajera
76;1608;2018;Luján;1.Forrajeras perennes
77;2560;2018;Magdalena;1.Forrajeras perennes
78;1947;2018;Maipú;1.Forrajeras perennes
79;0;2018;Malvinas Argentinas;1.Forrajeras perennes
80;33824;2018;Mar Chiquita;1.Forrajeras perennes
81;1249;2018;Marcos Paz;1.Forrajeras perennes
82;6492;2018;Mercedes;1.Forrajeras perennes
83;168;2018;Merlo;1.Forrajeras perennes
84;5263;2018;Monte;1.Forrajeras perennes
85;20;2018;Monte Hermoso;1.Forrajeras perennes
86;6;2018;Moreno;1.Forrajeras perennes
87;0;2018;Morón;1.Forrajeras perennes
88;9195;2018;Navarro;1.Forrajeras perennes
89;25636;2018;Necochea;1.Forrajeras perennes
90;19645;2018;9 de julio;1.Forrajeras perennes
91;32552;2018;Olavarría;1.Forrajeras perennes
92;15429;2018;Patagones;1.Forrajeras perennes
93;8547;2018;Pehuajó;1.Forrajeras perennes
94;11310;2018;Pellegrini;1.Forrajeras perennes
95;8850;2018;Pergamino;1.Forrajeras perennes
96;2102;2018;Pila;1.Forrajeras perennes
97;37;2018;Pilar;1.Forrajeras perennes
98;0;2018;Pinamar;1.Forrajeras perennes
99;35;2018;Presidente Perón;1.Forrajeras perennes
100;12669;2018;Puán;1.Forrajeras perennes
101;933;2018;Punta Indio;1.Forrajeras perennes
102;0;2018;Quilmes;1.Forrajeras perennes
103;876;2018;Ramallo;1.Forrajeras perennes
104;4387;2018;Rauch;1.Forrajeras perennes
105;14153;2018;Rivadavia;1.Forrajeras perennes
106;6243;2018;Rojas;1.Forrajeras perennes
107;3178;2018;Roque Pérez;1.Forrajeras perennes
