;HA de EAPs;Año del censo;Partido;Tipo de Oleaginosa
129;0;2018;Tres de Febrero;2.Otras oleaginosas
130;12378;2018;Tres Lomas;2.Otras oleaginosas
131;2800;2018;25 de mayo;2.Otras oleaginosas
132;0;2018;Vicente López;2.Otras oleaginosas
133;0;2018;Villa Gesell;2.Otras oleaginosas
134;0;2018;Villarino;2.Otras oleaginosas
135;308;2018;Zárate;2.Otras oleaginosas
136;919059;2002;Provincia de Buenos Aires;2.Otras oleaginosas
137;32454;2002;Adolfo Alsina;2.Otras oleaginosas
138;41274;2002;Adolfo Gonzales Chaves;2.Otras oleaginosas
139;131;2002;Alberti;2.Otras oleaginosas
140;0;2002;Almirante Brown;2.Otras oleaginosas
141;642;2002;Arrecifes;2.Otras oleaginosas
142;0;2002;Avellaneda;2.Otras oleaginosas
143;6976;2002;Ayacucho;2.Otras oleaginosas
144;13810;2002;Azul;2.Otras oleaginosas
145;70;2002;Bahía Blanca;2.Otras oleaginosas
146;25734;2002;Balcarce;2.Otras oleaginosas
147;459;2002;Baradero;2.Otras oleaginosas
148;19105;2002;Benito Juárez;2.Otras oleaginosas
149;0;2002;Berazategui;2.Otras oleaginosas
150;0;2002;Berisso;2.Otras oleaginosas
151;2809;2002;Bolívar;2.Otras oleaginosas
152;105;2002;Bragado;2.Otras oleaginosas
153;315;2002;Brandsen;2.Otras oleaginosas
154;100;2002;Campana;2.Otras oleaginosas
155;185;2002;Cañuelas;2.Otras oleaginosas
156;0;2002;Capitán Sarmiento;2.Otras oleaginosas
157;2647;2002;Carlos Casares;2.Otras oleaginosas
158;3351;2002;Carlos Tejedor;2.Otras oleaginosas
159;99;2002;Carmen de Areco;2.Otras oleaginosas
160;580;2002;Castelli;2.Otras oleaginosas
161;74;2002;Chacabuco;2.Otras oleaginosas
162;2272;2002;Chascomús;2.Otras oleaginosas
163;1009;2002;Chivilcoy;2.Otras oleaginosas
164;17;2002;Colón;2.Otras oleaginosas
165;0;2002;Coronel de Marina Leonardo Rosales;2.Otras oleaginosas
166;46046;2002;Coronel Dorrego;2.Otras oleaginosas
167;33644;2002;Coronel Pringles;2.Otras oleaginosas
168;47032;2002;Coronel Suárez;2.Otras oleaginosas
169;11665;2002;Daireaux;2.Otras oleaginosas
170;67;2002;Dolores;2.Otras oleaginosas
171;0;2002;Ensenada;2.Otras oleaginosas
172;0;2002;Escobar;2.Otras oleaginosas
173;0;2002;Esteban Echeverría;2.Otras oleaginosas
174;1038;2002;Exaltación de la Cruz;2.Otras oleaginosas
175;0;2002;Ezeiza;2.Otras oleaginosas
176;0;2002;Florencio Varela;2.Otras oleaginosas
177;1320;2002;Florentino Ameghino;2.Otras oleaginosas
178;18559;2002;General Alvarado;2.Otras oleaginosas
179;1311;2002;General Alvear;2.Otras oleaginosas
180;0;2002;General Arenales;2.Otras oleaginosas
181;1341;2002;General Belgrano;2.Otras oleaginosas
182;162;2002;General Guido;2.Otras oleaginosas
183;3347;2002;General Juan Madariaga;2.Otras oleaginosas
184;19148;2002;General La Madrid;2.Otras oleaginosas
185;80;2002;General Las Heras;2.Otras oleaginosas
186;70;2002;General Lavalle;2.Otras oleaginosas
187;307;2002;General Paz;2.Otras oleaginosas
188;161;2002;General Pinto;2.Otras oleaginosas
189;10437;2002;General Pueyrredón;2.Otras oleaginosas
190;110;2002;General Rodríguez;2.Otras oleaginosas
191;0;2002;General San Martín;2.Otras oleaginosas
192;620;2002;General Viamonte;2.Otras oleaginosas
193;11564;2002;General Villegas;2.Otras oleaginosas
194;27019;2002;Guaminí;2.Otras oleaginosas
195;2254;2002;Hipólito Yrigoyen;2.Otras oleaginosas
196;0;2002;Hurlingham;2.Otras oleaginosas
197;0;2002;Ituzaingó;2.Otras oleaginosas
198;0;2002;José C, Paz;2.Otras oleaginosas
199;1057;2002;Junín;2.Otras oleaginosas
200;0;2002;La Costa;2.Otras oleaginosas
201;300;2002;La Matanza;2.Otras oleaginosas
202;0;2002;Lanús;2.Otras oleaginosas
203;531;2002;La Plata;2.Otras oleaginosas
